area_sqft,bedrooms,bathrooms,floors,age_years,garage,garden,swimming_pool,location_score,distance_city,school_nearby,furnishing,price_usd,price_per_sqft,total_rooms,amenity_score,age_category,location_tier
1682.0,4,4,2,29.0,0,0,0,2.1,1.5,0,1,284200.0,168.97,8,0,1,0
3158.0,3,3,3,8.0,1,0,0,2.1,0.7,0,0,401600.0,127.17,6,1,2,0
2647.0,5,4,1,5.0,1,1,0,5.4,20.5,0,0,388700.0,146.85,9,2,3,1
3347.0,5,4,2,24.0,0,1,0,4.5,13.1,0,2,478800.0,143.05,9,1,1,1
1575.0,4,4,1,18.0,1,1,0,3.9,3.8,0,2,305000.0,193.65,8,2,1,1
2406.0,4,3,3,15.0,1,1,0,9.1,7.0,1,2,513900.0,213.59,7,2,2,2
789.0,3,3,1,20.0,0,0,0,4.8,1.5,0,2,195300.0,247.53,6,0,1,1
3334.0,2,2,2,1.0,0,1,0,7.1,12.3,1,0,528100.0,158.4,4,1,3,2
3605.0,3,3,1,9.0,0,1,0,6.0,0.7,1,1,497400.0,137.98,6,1,2,1
5258.0,2,1,2,15.0,1,0,0,4.9,14.1,0,1,454100.0,86.36,3,1,2,1
2499.0,4,4,1,36.0,1,0,0,3.2,7.9,0,2,331400.0,132.61,8,1,0,0
1867.0,3,2,1,14.0,1,0,0,7.0,3.3,1,2,356700.0,191.06,5,1,2,2
2128.0,6,4,1,12.0,0,0,0,1.0,19.8,0,1,244800.0,115.04,10,0,2,0
3802.0,4,3,3,12.0,0,0,0,7.2,42.7,1,0,306600.0,80.64,7,0,2,2
4156.0,4,4,1,31.0,0,1,0,5.8,2.9,0,0,471600.0,113.47,8,1,0,1
4490.0,2,1,1,44.0,1,1,0,6.7,16.4,1,1,400800.0,89.27,3,2,0,2
1246.0,5,4,2,46.0,0,0,0,5.5,13.9,0,2,206600.0,165.81,9,0,0,1
3488.0,5,4,2,45.0,1,0,0,3.0,13.8,0,0,393200.0,112.73,9,1,0,0
3035.0,3,3,3,7.0,1,1,0,6.3,31.5,1,0,368300.0,121.35,6,2,2,1
1200.0,4,4,1,42.0,0,1,0,7.2,6.7,1,1,276600.0,230.5,8,1,0,2
2963.0,4,4,2,17.0,1,0,1,4.5,11.2,0,2,395800.0,133.58,8,3,1,1
2661.0,2,1,1,35.0,0,1,0,6.8,17.4,1,1,379700.0,142.69,3,1,0,2
841.0,3,3,1,25.0,0,1,0,6.1,6.5,1,1,236000.0,280.62,6,1,1,1
2641.0,3,2,2,9.0,0,1,0,6.4,6.6,1,1,322600.0,122.15,5,1,2,1
3424.0,2,2,2,30.0,0,0,0,3.8,3.8,0,0,397300.0,116.03,4,0,1,1
3212.0,3,3,2,32.0,0,0,0,8.1,15.2,1,0,409600.0,127.52,6,0,0,2
1963.0,2,2,1,28.0,1,1,0,6.1,11.6,1,2,354900.0,180.79,4,2,1,1
2078.0,1,1,1,4.0,1,0,1,7.2,6.0,1,2,382300.0,183.97,2,3,3,2
3156.0,2,1,1,12.0,1,1,1,4.7,5.4,0,1,387700.0,122.85,3,4,2,1
1375.0,6,4,3,0.0,1,0,1,7.5,0.8,1,1,409500.0,297.82,10,3,3,2
4614.0,3,3,1,22.0,0,0,0,4.7,0.5,0,2,491900.0,106.61,6,0,1,1
634.0,6,4,1,39.0,0,0,1,3.7,7.5,0,1,232300.0,366.4,10,2,0,1
3752.0,3,2,1,2.0,1,0,0,9.0,5.4,1,0,478300.0,127.48,5,1,3,2
2555.0,3,3,2,2.0,1,1,0,1.0,15.9,0,1,335600.0,131.35,6,2,3,0
2185.0,3,2,1,6.0,1,0,0,10.0,7.8,1,1,436000.0,199.54,5,1,2,2
4543.0,3,2,3,35.0,0,1,0,6.9,27.6,1,1,505900.0,111.36,5,1,0,2
3673.0,2,1,1,34.0,0,1,0,4.9,2.2,0,2,412900.0,112.41,3,1,0,1
1621.0,4,3,3,14.0,0,0,0,6.2,46.2,1,2,232000.0,143.12,7,0,2,1
4061.0,2,2,1,39.0,1,1,0,6.9,3.5,1,0,417200.0,102.73,4,2,0,2
3213.0,4,4,2,2.0,1,0,1,4.8,10.3,0,1,493800.0,153.69,8,3,3,1
4443.0,4,3,3,28.0,0,1,0,9.6,7.0,1,1,751400.0,169.12,7,1,1,2
2100.0,2,2,1,29.0,0,0,0,8.5,4.5,1,1,379700.0,180.81,4,0,1,2
5398.0,2,1,3,38.0,1,0,0,10.0,1.5,1,1,699700.0,129.62,3,1,0,2
761.0,4,3,1,17.0,0,0,1,3.1,1.4,0,1,182400.0,239.68,7,2,1,0
4897.0,3,2,3,10.0,1,1,0,5.9,12.4,0,2,648800.0,132.49,5,2,2,1
2581.0,2,1,2,42.0,0,1,0,2.7,4.7,0,1,300100.0,116.27,3,1,0,0
1595.0,6,4,1,48.0,0,0,1,3.3,32.5,0,2,256900.0,161.07,10,2,0,0
3942.0,2,2,1,37.0,0,0,0,4.8,3.9,0,0,367700.0,93.28,4,0,0,1
5151.0,4,4,1,39.0,1,0,0,4.9,41.1,0,1,454400.0,88.22,8,1,0,1
4398.0,6,4,1,0.0,1,1,0,6.2,2.3,1,1,495200.0,112.6,10,2,3,1
1875.0,2,2,1,28.0,0,0,0,5.3,1.1,0,2,229100.0,122.19,4,0,1,1
1616.0,2,2,1,9.0,0,1,0,7.1,3.7,1,1,292800.0,181.19,4,1,2,2
937.0,2,1,1,27.0,0,0,0,6.1,21.7,1,0,163600.0,174.6,3,0,1,1
1478.0,3,2,2,30.0,0,0,1,8.8,7.4,1,1,338300.0,228.89,5,2,1,2
1676.0,2,2,1,18.0,1,1,1,7.2,1.5,1,1,344500.0,205.55,4,4,1,2
5487.0,4,4,1,2.0,0,1,0,3.1,2.3,0,2,623800.0,113.69,8,1,3,0
4593.0,2,1,2,35.0,0,1,0,5.2,3.7,0,1,298000.0,64.88,3,1,0,1
5459.0,3,3,1,42.0,1,0,1,5.3,8.9,0,2,573400.0,105.04,6,3,0,1
979.0,6,4,1,14.0,0,1,0,6.4,4.0,1,2,320800.0,327.68,10,1,2,1
1092.0,4,4,1,32.0,1,0,0,7.7,13.7,1,0,265600.0,243.22,8,1,0,2
2662.0,4,4,3,40.0,1,1,0,6.1,9.6,1,1,480600.0,180.54,8,2,0,1
4484.0,3,3,2,42.0,1,0,0,6.7,20.7,1,1,463100.0,103.28,6,1,0,2
664.0,4,3,1,50.0,0,0,0,3.2,7.0,0,2,133000.0,200.3,7,0,0,0
3168.0,3,3,2,44.0,0,0,0,4.6,4.0,0,0,327100.0,103.25,6,0,0,1
2627.0,3,3,2,25.0,0,0,0,1.7,50.0,0,0,159800.0,60.83,6,0,1,0
3295.0,2,2,2,15.0,1,0,1,6.4,4.4,1,0,494700.0,150.14,4,3,2,1
2095.0,5,4,2,35.0,1,1,0,7.2,5.6,1,1,441200.0,210.6,9,2,0,2
991.0,3,2,2,32.0,1,1,0,2.9,16.6,0,0,198100.0,199.9,5,2,0,0
5114.0,2,1,1,19.0,1,1,1,5.8,0.9,0,1,647000.0,126.52,3,4,1,1
5074.0,3,2,1,12.0,0,0,0,5.3,4.9,0,2,471800.0,92.98,5,0,2,1
4161.0,3,3,1,32.0,0,0,0,8.9,0.9,1,1,631100.0,151.67,6,0,0,2
2878.0,4,3,3,4.0,1,1,0,3.7,1.5,0,1,443400.0,154.07,7,2,3,1
3699.0,4,3,2,36.0,0,0,0,7.3,0.5,1,2,507000.0,137.06,7,0,0,2
800.0,4,3,2,13.0,0,0,0,7.8,0.5,1,1,332500.0,415.62,7,0,2,2
5475.0,1,1,3,26.0,1,1,0,5.1,4.8,0,0,734500.0,134.16,2,2,1,1
3704.0,3,3,1,22.0,0,0,0,6.1,16.6,1,1,421200.0,113.71,6,0,1,1
5198.0,3,3,2,13.0,0,0,1,7.7,8.8,1,1,590500.0,113.6,6,2,2,2
3054.0,1,1,2,39.0,0,1,0,3.3,10.1,0,0,344600.0,112.84,2,1,0,0
4245.0,3,3,3,3.0,1,0,0,4.6,7.3,0,1,676200.0,159.29,6,1,3,1
1404.0,4,4,3,38.0,0,1,0,5.9,17.1,0,2,282200.0,201.0,8,1,0,1
3331.0,2,1,2,18.0,0,0,0,9.6,21.2,1,1,435500.0,130.74,3,0,1,2
3373.0,3,2,1,46.0,1,1,0,4.7,19.0,0,1,366600.0,108.69,5,2,0,1
2170.0,2,1,2,3.0,1,0,0,5.0,16.7,0,1,304000.0,140.09,3,1,3,1
3290.0,1,1,1,29.0,1,1,0,8.6,2.0,1,2,386200.0,117.39,2,2,1,2
4440.0,2,1,2,18.0,0,0,0,6.8,9.0,1,2,527400.0,118.78,3,0,1,2
1628.0,6,4,3,30.0,1,1,0,9.9,8.7,1,1,441700.0,271.31,10,2,1,2
1102.0,4,4,1,30.0,0,0,0,7.7,7.5,1,1,295500.0,268.15,8,0,1,2
5093.0,6,4,2,8.0,1,0,1,5.2,6.6,0,1,668300.0,131.22,10,3,2,1
1470.0,3,3,1,12.0,1,1,0,4.9,0.9,0,1,298400.0,202.99,6,2,2,1
5088.0,2,2,1,13.0,1,0,0,3.9,1.1,0,0,395700.0,77.77,4,1,2,1
806.0,3,2,1,45.0,1,0,0,2.9,23.3,0,1,92700.0,115.01,5,1,0,0
2084.0,3,3,2,9.0,1,0,0,6.2,9.9,1,1,391900.0,188.05,6,1,2,1
1463.0,4,3,3,47.0,0,0,0,6.8,3.0,1,0,339600.0,232.13,7,0,0,2
3390.0,2,2,3,30.0,1,0,0,7.0,3.3,1,0,434700.0,128.23,4,1,1,2
1163.0,3,3,1,36.0,1,0,0,5.3,9.4,0,0,195800.0,168.36,6,1,0,1
4791.0,2,2,3,22.0,1,0,0,9.4,5.2,1,1,674300.0,140.74,4,1,1,2
2357.0,3,3,2,26.0,0,1,0,2.8,5.8,0,1,309500.0,131.31,6,1,1,0
2278.0,4,4,1,5.0,0,0,0,2.6,0.6,0,0,308900.0,135.6,8,0,3,0
3842.0,3,3,1,25.0,0,0,0,3.9,1.5,0,2,480900.0,125.17,6,0,1,1
5236.0,3,3,1,1.0,0,1,0,5.5,5.0,0,1,507000.0,96.83,6,1,3,1
1659.0,3,3,3,44.0,1,1,0,3.3,12.0,0,0,275600.0,166.12,6,2,0,0
2322.0,3,3,2,12.0,1,0,1,8.2,0.5,1,0,381600.0,164.34,6,3,2,2
3914.0,4,3,2,50.0,1,0,0,4.0,4.1,0,1,399900.0,102.17,7,1,0,1
3757.0,5,4,1,49.0,1,1,0,3.7,11.9,0,0,368600.0,98.11,9,2,0,1
3225.0,6,4,2,18.0,0,0,1,7.6,15.7,1,0,469800.0,145.67,10,2,1,2
3329.0,4,3,1,0.0,1,0,0,5.9,2.1,0,1,483400.0,145.21,7,1,3,1
2197.0,3,2,1,39.0,1,0,0,7.1,13.1,1,1,353200.0,160.76,5,1,0,2
3660.0,4,3,2,31.0,1,1,0,5.4,31.1,0,2,408400.0,111.58,7,2,0,1
3293.0,3,3,1,21.0,0,0,0,6.0,23.7,1,2,326300.0,99.09,6,0,1,1
5491.0,3,2,2,47.0,0,1,0,2.6,15.6,0,2,379600.0,69.13,5,1,0,0
4227.0,4,3,1,28.0,1,1,1,5.2,12.5,0,0,574000.0,135.79,7,4,1,1
1963.0,1,1,2,1.0,1,0,0,3.4,2.7,0,0,288700.0,147.07,2,1,3,0
2581.0,5,4,1,39.0,0,1,0,9.4,10.0,1,2,505000.0,195.66,9,1,0,2
2263.0,3,3,2,37.0,0,0,0,8.1,10.3,1,1,359700.0,158.95,6,0,0,2
2129.0,4,3,1,47.0,1,0,0,4.2,5.2,0,1,317900.0,149.32,7,1,0,1
2638.0,4,3,1,10.0,1,0,0,5.1,6.8,0,0,342400.0,129.8,7,1,2,1
3902.0,5,4,3,16.0,0,0,0,5.2,11.8,0,0,509200.0,130.5,9,0,1,1
2837.0,4,4,1,50.0,0,0,0,9.8,30.4,1,0,363200.0,128.02,8,0,0,2
1906.0,4,4,2,42.0,1,0,0,6.3,3.5,1,1,318100.0,166.89,8,1,0,1
4629.0,2,2,3,7.0,0,0,0,4.6,2.8,0,0,524700.0,113.35,4,0,2,1
3275.0,3,2,1,21.0,0,0,0,5.8,9.2,0,1,399000.0,121.83,5,0,1,1
1882.0,2,2,1,3.0,0,0,0,2.4,1.4,0,1,270500.0,143.73,4,0,3,0
1309.0,4,4,2,10.0,0,1,0,5.4,8.7,0,0,238700.0,182.35,8,1,2,1
5344.0,3,3,3,7.0,0,0,1,3.3,0.9,0,0,676800.0,126.65,6,2,2,0
5013.0,4,3,3,8.0,1,1,0,1.8,6.7,0,1,547700.0,109.26,7,2,2,0
4348.0,1,1,2,25.0,0,0,0,9.5,9.7,1,0,589600.0,135.6,2,0,1,2
5379.0,2,1,2,1.0,1,0,0,5.4,0.7,0,0,662600.0,123.18,3,1,3,1
1263.0,4,4,1,15.0,0,0,0,4.0,2.3,0,0,173700.0,137.53,8,0,2,1
2598.0,2,2,3,30.0,1,0,0,2.1,4.1,0,1,340400.0,131.02,4,1,1,0
4045.0,2,2,3,5.0,0,0,0,5.1,4.6,0,1,538300.0,133.08,4,0,3,1
4343.0,1,1,1,20.0,1,0,0,5.2,11.3,0,0,375100.0,86.37,2,1,1,1
2095.0,6,4,1,25.0,1,1,1,7.0,7.5,1,1,357400.0,170.6,10,4,1,2
3904.0,4,3,1,18.0,1,1,1,3.6,4.8,0,2,552700.0,141.57,7,4,1,1
4363.0,3,2,1,27.0,0,0,0,4.4,6.0,0,1,461900.0,105.87,5,0,1,1
2453.0,3,2,2,7.0,0,1,0,3.7,0.5,0,0,308200.0,125.64,5,1,2,1
5259.0,3,3,1,13.0,0,0,1,5.1,14.7,0,1,681700.0,129.63,6,2,2,1
1891.0,4,3,1,23.0,1,0,0,1.5,0.5,0,1,267000.0,141.2,7,1,1,0
4181.0,4,4,1,47.0,1,1,0,3.9,17.7,0,2,337200.0,80.65,8,2,0,1
4057.0,2,2,3,43.0,0,0,0,6.8,7.8,1,2,424100.0,104.54,4,0,0,2
2236.0,2,2,2,36.0,0,0,0,3.0,7.5,0,1,282800.0,126.48,4,0,0,0
4296.0,2,2,1,25.0,0,0,0,7.5,12.2,1,1,494300.0,115.06,4,0,1,2
3599.0,4,3,1,30.0,0,0,1,7.2,19.6,1,2,440800.0,122.48,7,2,1,2
3752.0,4,4,3,50.0,0,0,1,7.4,28.6,1,2,518600.0,138.22,8,2,0,2
1298.0,3,3,2,31.0,1,0,0,5.5,7.8,0,1,240600.0,185.36,6,1,0,1
2760.0,1,1,1,49.0,0,0,0,5.3,1.6,0,0,257700.0,93.37,2,0,0,1
4697.0,2,2,1,40.0,0,0,0,6.1,21.1,1,0,514800.0,109.6,4,0,0,1
5337.0,6,4,1,1.0,0,1,0,8.1,0.5,1,1,798900.0,149.69,10,1,3,2
1454.0,3,3,1,24.0,0,0,0,8.0,16.5,1,1,300300.0,206.53,6,0,1,2
4074.0,4,3,2,43.0,1,1,0,2.2,11.4,0,2,348900.0,85.64,7,2,0,0
2307.0,4,3,3,1.0,1,1,0,3.8,23.5,0,2,401300.0,173.95,7,2,3,1
3377.0,3,3,1,41.0,1,1,0,3.4,22.8,0,0,409900.0,121.38,6,2,0,0
2333.0,2,2,2,0.0,1,1,1,7.0,0.5,1,1,519200.0,222.55,4,4,3,2
4110.0,2,2,1,35.0,0,0,1,4.1,9.4,0,0,457200.0,111.24,4,2,0,1
802.0,4,3,2,11.0,0,0,0,5.1,1.3,0,1,240500.0,299.88,7,0,2,1
3855.0,4,4,2,8.0,1,0,0,8.9,0.8,1,1,620100.0,160.86,8,1,2,2
4818.0,4,4,1,35.0,1,1,0,7.7,5.9,1,0,521500.0,108.24,8,2,0,2
5096.0,3,3,1,40.0,0,0,0,8.3,1.0,1,0,561300.0,110.15,6,0,0,2
1366.0,1,1,2,27.0,0,0,1,4.1,13.0,0,0,194300.0,142.24,2,2,1,1
4989.0,6,4,1,37.0,1,0,0,1.0,34.7,0,0,452500.0,90.7,10,1,0,0
2927.0,4,3,1,32.0,0,1,0,4.7,8.4,0,2,383200.0,130.92,7,1,0,1
3531.0,3,3,2,41.0,1,0,0,2.6,2.7,0,0,340500.0,96.43,6,1,0,0
797.0,6,4,3,45.0,1,0,0,1.6,18.5,0,0,122400.0,153.58,10,1,0,0
2530.0,4,3,1,21.0,1,0,0,7.8,19.2,1,0,395200.0,156.21,7,1,1,2
4182.0,3,2,2,24.0,1,1,0,3.7,13.2,0,2,396000.0,94.69,5,2,1,1
1208.0,4,4,1,17.0,1,0,0,3.9,9.5,0,1,204300.0,169.12,8,1,1,1
3872.0,4,4,2,5.0,0,0,0,4.8,20.2,0,0,552800.0,142.77,8,0,3,1
1747.0,4,4,2,17.0,0,1,0,8.8,1.8,1,1,516100.0,295.42,8,1,1,2
4882.0,2,1,3,15.0,1,0,0,5.2,26.8,0,1,458100.0,93.83,3,1,2,1
3997.0,3,3,1,14.0,1,1,1,7.4,29.4,1,1,404100.0,101.1,6,4,2,2
3111.0,5,4,2,47.0,1,0,0,4.9,20.6,0,1,431800.0,138.8,9,1,0,1
2394.0,2,1,2,7.0,0,0,0,2.3,2.9,0,0,278900.0,116.5,3,0,2,0
1259.0,3,3,1,12.0,0,1,0,3.1,19.5,0,2,207700.0,164.97,6,1,2,0
3411.0,3,3,1,42.0,1,1,0,5.5,6.9,0,1,389900.0,114.31,6,2,0,1
1969.0,3,3,1,6.0,1,0,0,5.7,9.0,0,1,283500.0,143.98,6,1,2,1
2586.0,4,4,1,16.0,0,0,0,6.6,18.4,1,0,354400.0,137.05,8,0,1,2
746.0,5,4,3,49.0,0,1,0,6.6,0.5,1,2,292000.0,391.42,9,1,0,2
3819.0,2,1,1,31.0,1,0,0,7.3,4.5,1,1,426800.0,111.76,3,1,0,2
3511.0,2,1,1,21.0,0,1,0,4.0,16.9,0,0,395000.0,112.5,3,1,1,1
2334.0,2,2,2,50.0,0,1,0,9.2,16.8,1,0,275700.0,118.12,4,1,0,2
2443.0,5,4,1,12.0,1,0,1,9.3,18.9,1,1,496200.0,203.11,9,3,2,2
1088.0,4,4,2,46.0,1,1,0,4.5,1.9,0,2,267500.0,245.86,8,2,0,1
3576.0,3,3,1,22.0,1,0,0,3.9,12.2,0,2,464400.0,129.87,6,1,1,1
2559.0,4,4,3,28.0,0,1,1,1.9,1.6,0,1,334900.0,130.87,8,3,1,0
2985.0,5,4,3,21.0,0,0,0,5.8,15.4,0,1,446800.0,149.68,9,0,1,1
3519.0,4,3,3,0.0,0,1,0,6.4,2.8,1,0,534700.0,151.95,7,1,3,1
5336.0,5,4,1,28.0,0,1,0,4.3,13.4,0,1,578900.0,108.49,9,1,1,1
2402.0,3,3,2,47.0,0,1,1,6.1,6.1,1,2,356600.0,148.46,6,3,0,1
4661.0,4,4,1,4.0,0,1,0,2.7,42.9,0,1,378300.0,81.16,8,1,3,0
3969.0,3,3,1,34.0,0,0,1,7.4,8.7,1,0,501300.0,126.3,6,2,0,2
862.0,4,4,1,9.0,1,0,0,4.4,10.0,0,0,207600.0,240.84,8,1,2,1
1223.0,4,3,2,18.0,1,1,0,6.1,4.6,1,0,348500.0,284.96,7,2,1,1
1616.0,4,3,1,36.0,0,1,0,5.9,13.3,0,1,271800.0,168.19,7,1,0,1
4243.0,4,3,2,6.0,0,1,0,1.6,6.8,0,2,500000.0,117.84,7,1,2,0
2649.0,2,2,1,45.0,1,1,0,7.2,0.5,1,0,319800.0,120.72,4,2,0,2
4323.0,3,3,1,34.0,0,0,0,3.9,9.4,0,1,343800.0,79.53,6,0,0,1
5148.0,6,4,2,44.0,0,0,0,5.9,17.7,0,1,548600.0,106.57,10,0,0,1
3708.0,5,4,1,12.0,1,0,0,2.7,2.7,0,2,384300.0,103.64,9,1,2,0
4690.0,1,1,2,9.0,0,1,0,4.5,2.5,0,1,501100.0,106.84,2,1,2,1
2656.0,2,1,1,1.0,1,0,0,6.2,9.4,1,0,324300.0,122.1,3,1,3,1
3770.0,2,1,2,5.0,0,1,0,3.3,17.0,0,0,386200.0,102.44,3,1,3,0
2282.0,4,4,2,7.0,1,0,0,3.5,2.9,0,1,320500.0,140.45,8,1,2,0
2855.0,4,4,1,35.0,0,0,0,5.8,26.9,0,2,362400.0,126.94,8,0,0,1
1754.0,2,2,1,24.0,1,0,1,5.2,26.2,0,0,227300.0,129.59,4,3,1,1
5099.0,3,3,2,43.0,1,0,0,6.2,2.2,1,1,456900.0,89.61,6,1,0,1
3791.0,4,3,2,46.0,0,1,0,4.8,3.1,0,1,495100.0,130.6,7,1,0,1
2296.0,4,4,1,39.0,1,0,0,6.8,12.1,1,1,330100.0,143.77,8,1,0,2
4591.0,3,3,1,6.0,1,0,0,4.4,30.3,0,0,525200.0,114.4,6,1,2,1
5323.0,3,3,3,45.0,1,0,0,6.7,12.4,1,2,557900.0,104.81,6,1,0,2
5282.0,3,2,2,22.0,0,1,0,3.7,5.9,0,1,487400.0,92.28,5,1,1,1
2248.0,3,3,1,18.0,0,1,1,4.3,1.9,0,1,351700.0,156.45,6,3,1,1
2045.0,3,3,1,45.0,1,0,0,7.0,6.2,1,1,314400.0,153.74,6,1,0,2
4799.0,4,4,1,21.0,0,1,0,4.5,9.3,0,2,545000.0,113.57,8,1,1,1
4523.0,5,4,2,12.0,0,0,0,3.2,4.0,0,1,538700.0,119.1,9,0,2,0
853.0,4,3,1,20.0,0,0,0,9.0,7.1,1,1,307700.0,360.73,7,0,1,2
3783.0,4,4,3,0.0,1,1,0,5.4,1.4,0,1,531800.0,140.58,8,2,3,1
3157.0,2,1,1,18.0,0,0,0,6.4,6.0,1,1,320100.0,101.39,3,0,1,1
698.0,3,2,1,32.0,1,1,0,1.0,1.0,0,0,155400.0,222.64,5,2,0,0
2800.0,1,1,2,3.0,1,0,0,8.2,0.5,1,2,423300.0,151.18,2,1,3,2
3561.0,2,1,3,41.0,1,1,0,10.0,19.5,1,2,461700.0,129.65,3,2,0,2
5033.0,4,3,2,2.0,0,0,0,8.0,2.3,1,1,634500.0,126.07,7,0,3,2
4377.0,6,4,1,26.0,1,0,0,8.3,8.6,1,1,573700.0,131.07,10,1,1,2
3469.0,2,1,2,40.0,0,1,0,4.7,1.6,0,0,303500.0,87.49,3,1,0,1
3834.0,3,3,2,34.0,1,0,0,6.0,3.0,1,2,529200.0,138.03,6,1,0,1
4391.0,4,3,1,27.0,1,0,0,6.5,4.5,1,1,489000.0,111.36,7,1,1,1
1556.0,2,2,1,5.0,1,0,0,4.1,1.6,0,1,251100.0,161.38,4,1,3,1
4667.0,3,2,1,5.0,1,0,0,5.3,0.5,0,2,664300.0,142.34,5,1,3,1
760.0,4,3,1,43.0,1,0,1,3.5,21.0,0,1,195800.0,257.63,7,3,0,0
5093.0,4,4,3,22.0,1,0,0,4.7,0.5,0,2,728200.0,142.98,8,1,1,1
1900.0,2,1,1,32.0,1,1,0,7.2,0.6,1,1,304600.0,160.32,3,2,0,2
4587.0,3,3,3,15.0,1,0,0,2.0,16.4,0,1,501300.0,109.29,6,1,2,0
2127.0,4,3,2,23.0,1,1,0,7.4,3.3,1,1,423200.0,198.97,7,2,1,2
1818.0,3,3,2,4.0,1,0,0,2.3,12.8,0,1,251000.0,138.06,6,1,3,0
5096.0,1,1,2,40.0,0,0,0,5.6,1.6,0,2,477200.0,93.64,2,0,0,1
5335.0,4,3,1,41.0,0,0,0,5.8,2.7,0,1,650600.0,121.95,7,0,0,1
3704.0,1,1,1,12.0,0,0,0,6.6,8.5,1,1,401800.0,108.48,2,0,2,2
3335.0,4,3,1,46.0,1,0,0,5.1,44.8,0,0,307800.0,92.29,7,1,0,1
5155.0,2,2,2,11.0,0,0,0,3.4,0.8,0,0,580100.0,112.53,4,0,2,0
1554.0,6,4,1,4.0,0,0,0,5.9,5.1,0,1,288300.0,185.52,10,0,3,1
5165.0,3,3,2,36.0,1,0,1,9.8,0.5,1,1,616000.0,119.26,6,3,0,2
4046.0,3,3,1,30.0,1,0,0,5.5,2.2,0,2,638200.0,157.74,6,1,1,1
1645.0,2,2,1,27.0,1,0,0,3.7,23.8,0,1,168700.0,102.55,4,1,1,1
2293.0,3,3,1,27.0,1,1,0,4.6,1.0,0,1,409700.0,178.67,6,2,1,1
4036.0,5,4,3,29.0,1,0,1,5.8,19.4,0,2,537100.0,133.08,9,3,1,1
1162.0,6,4,2,17.0,0,0,1,5.0,2.0,0,1,309700.0,266.52,10,2,1,1
3085.0,3,2,1,43.0,1,0,0,4.7,19.8,0,2,319500.0,103.57,5,1,0,1
3954.0,3,2,2,26.0,0,0,0,8.2,7.7,1,1,502100.0,126.99,5,0,1,2
825.0,4,4,1,34.0,1,0,0,6.5,21.1,1,0,250700.0,303.88,8,1,0,1
5493.0,5,4,3,25.0,1,1,0,5.3,1.6,0,1,719700.0,131.02,9,2,1,1
1559.0,3,3,2,38.0,0,1,1,5.3,14.4,0,0,276500.0,177.36,6,3,0,1
5148.0,3,2,1,48.0,0,1,0,5.8,11.4,0,1,406200.0,78.9,5,1,0,1
3667.0,3,2,2,50.0,1,1,0,6.6,7.8,1,0,454800.0,124.03,5,2,0,2
1415.0,4,3,1,17.0,0,0,0,8.1,16.6,1,1,300600.0,212.44,7,0,1,2
5354.0,1,1,3,32.0,0,0,0,4.7,10.4,0,0,588500.0,109.92,2,0,0,1
5242.0,4,3,1,24.0,1,1,0,3.5,21.0,0,0,423000.0,80.69,7,2,1,0
3720.0,3,3,2,30.0,1,0,0,4.4,4.8,0,1,415600.0,111.72,6,1,1,1
616.0,4,3,1,36.0,0,0,0,3.7,8.9,0,0,133800.0,217.21,7,0,0,1
